FREQUENCY_RATE,<class '__main__.MovingAverage'>_VALUE,<class '__main__.MovingAverage'>_SPEED,<class '__main__.MovingAverage'>_ACC,<class '__main__.MovingAverage'>_WEIGHT,<class '__main__.MovingAverage'>_PARAMETER,<class '__main__.MAMA'>_VALUE,<class '__main__.MAMA'>_SPEED,<class '__main__.MAMA'>_ACC,<class '__main__.MAMA'>_WEIGHT,<class '__main__.MAMA'>_PARAMETER,<class '__main__.FAMA'>_VALUE,<class '__main__.FAMA'>_SPEED,<class '__main__.FAMA'>_ACC,<class '__main__.FAMA'>_WEIGHT,<class '__main__.FAMA'>_PARAMETER,<class '__main__.TRIMA'>_VALUE,<class '__main__.TRIMA'>_SPEED,<class '__main__.TRIMA'>_ACC,<class '__main__.TRIMA'>_WEIGHT,<class '__main__.TRIMA'>_PARAMETER,<class '__main__.EMA'>_VALUE,<class '__main__.EMA'>_SPEED,<class '__main__.EMA'>_ACC,<class '__main__.EMA'>_WEIGHT,<class '__main__.EMA'>_PARAMETER,<class '__main__.ATR'>_VALUE,<class '__main__.ATR'>_SPEED,<class '__main__.ATR'>_ACC,<class '__main__.ATR'>_WEIGHT,<class '__main__.ATR'>_PARAMETER,<class '__main__.RSI'>_VALUE,<class '__main__.RSI'>_SPEED,<class '__main__.RSI'>_ACC,<class '__main__.RSI'>_WEIGHT,<class '__main__.RSI'>_PARAMETER,<class '__main__.MACD'>_VALUE,<class '__main__.MACD'>_SPEED,<class '__main__.MACD'>_ACC,<class '__main__.MACD'>_WEIGHT,<class '__main__.MACD'>_PARAMETER,<class '__main__.MINUS_DI'>_VALUE,<class '__main__.MINUS_DI'>_SPEED,<class '__main__.MINUS_DI'>_ACC,<class '__main__.MINUS_DI'>_WEIGHT,<class '__main__.MINUS_DI'>_PARAMETER,<class '__main__.PLUS_DI'>_VALUE,<class '__main__.PLUS_DI'>_SPEED,<class '__main__.PLUS_DI'>_ACC,<class '__main__.PLUS_DI'>_WEIGHT,<class '__main__.PLUS_DI'>_PARAMETER,<class '__main__.ADX'>_VALUE,<class '__main__.ADX'>_SPEED,<class '__main__.ADX'>_ACC,<class '__main__.ADX'>_WEIGHT,<class '__main__.ADX'>_PARAMETER,<class '__main__.VOLUME'>_VALUE,<class '__main__.VOLUME'>_SPEED,<class '__main__.VOLUME'>_ACC,<class '__main__.VOLUME'>_WEIGHT,<class '__main__.VOLUME'>_PARAMETER,<class '__main__.SAR'>_VALUE,<class '__main__.SAR'>_SPEED,<class '__main__.SAR'>_ACC,<class '__main__.SAR'>_WEIGHT,<class '__main__.SAR'>_PARAMETER,CLOSED
91.0,132.63810625000005,0.00013749999999390639,1.874999998108251e-05,0.25,30,132.61662421594716,0.004335567581705391,0.0014560227588447106,0.5,30,132.55114289512383,0.0016790082262332362,6.811690656149949e-05,1,30,129.897125701961,-0.002666945098070528,0.00021809803916994497,1,30,129.93195322443682,0.010689660585597949,0.0019695094120493195,0.5,30,0.062153026418369735,0.0014564649054403384,0.0003029023396354316,1.5,30,59.29663539591517,1.7337755655220946,-0.3088766829000633,1.5,30,0.006133258510677777,0.004781573393211981,-9.296640150203636e-05,0.5,30,14.223538842468084,-1.8071476067985017,0.13674088493849013,0.25,30,30.048723054928516,0.26537805912704115,-3.4272057950052854,1.5,30,20.402049777670744,1.0803539438903584,0.2408936027185149,0.25,30,2173.0,524.0,871.0,0.5,30,132.50996,0.003960000000006403,0.15369622656001525,0.25,30,-0.06299999999998818
14.000000000000002,132.62491250000008,-0.0013437499999895408,-6.874999999695319e-05,0.25,30,132.5518584720907,-0.0032997487789145907,0.011858472090722216,0.5,30,132.5995482709,-0.00152756170737689,0.013778308871849276,1,30,129.90771421764677,0.0022216215686228225,2.9592156835178685e-05,0.25,30,129.951553287777,-0.00411478398856957,-0.000932318769827134,0.25,30,0.05850558087267367,-0.0009670387248441673,0.000864469248322973,1.5,30,43.15338074661854,-2.2778971708218805,-1.8505594116055164,0.5,30,-0.009679091425157323,-0.0017609951508137656,-0.0019125827624232247,1.5,30,20.642423234838567,1.2937804293910418,0.841696630245842,0.25,30,14.608767417050487,-0.619432780796572,-0.16261895530167259,1.5,30,15.029596717225141,0.7450902670546533,0.5308564893864283,1.5,30,2822.0,-82.0,612.0,0.5,30,132.66539068139483,-0.005641278391436799,-0.0028242996203005077,0.25,30,0.24500000000000455
91.0,132.8596722222222,0.004649999999998045,0.00040555555554533385,1.5,30,133.0933516639545,0.008139386107643531,0.004150558625923395,0.5,30,133.19112213042067,-0.0025069350375872546,0.00027298259348640386,1,30,130.62128911594263,0.00038986956519693194,-0.00011314975847653841,0.25,30,130.54585012294262,-0.0012369050305380824,0.002890131381406036,0.5,30,0.08582414481700676,0.0034587927591497175,0.0031770603620428772,1.5,30,51.917820008978985,5.813712982175396,5.094626938204414,0.5,30,0.0026768988338516236,0.011534372061402141,0.0033899935648420837,1,30,19.5649173643624,-1.4520133069925478,-0.5631987289959604,1.5,30,19.563984963127414,3.009902810459355,2.9761898610668602,0.25,30,15.801718286570232,-0.9456048543127551,-0.6535098632168506,1.5,30,5401.0,-792.0,1020.0,1,30,132.99298000000002,0.003980000000012751,0.2016652738734308,0.25,30,0.30700000000001637
60.0,132.96429444444442,0.00282777777781007,-0.00026666666661867566,1.5,30,133.17555312123434,0.003444572566621673,0.00023975933862629972,0.5,30,133.15188838251433,0.0006067881722913171,7.276370240560937e-05,1,30,130.5867676690826,-0.0027371352657041825,-7.681400967385343e-05,0.25,30,130.52309441065776,0.0033738337477302593,0.0011528390518833476,0.5,30,0.0713631463516517,-0.002018157317583716,-0.0003990921341217868,1.5,30,53.78056771123314,0.5241141835681447,-1.781183673865634,0.5,30,0.012179144223182758,0.0008031425331295524,-0.0005334831220267042,1,30,19.326426533271928,-0.3066191102823481,0.09826644843912646,1.5,30,23.66020172891685,0.630555805416467,-0.801330450238261,0.25,30,14.141997533106043,0.0020550117809357005,0.18318745775636813,1.5,30,1783.0,470.0,1433.0,1,30,133.064353010352,0.0038091222377261147,-7.77371885192224e-05,0.25,30,0.24200000000001864
-450.0,133.15058333333332,-0.0005944444444310193,-4.444444439855033e-05,0.25,30,133.0907459883078,0.0026449479838106527,-0.014254011692202084,1,30,133.14725770047983,-0.0014490182608426494,0.018752874544730957,1.5,30,130.53166586715,0.001219318840583128,3.609903379242496e-05,0.5,30,130.42829728651662,0.0065661585518626,0.014329742544020974,0.25,30,0.06826335172689682,-0.0003625946363189636,-0.007181933929291326,0.25,30,50.80941306399367,5.053287595303935,-16.059274140194738,0.25,30,-0.0005343732646728022,0.007812108073399111,0.00038002267828116804,1,30,21.222292301206387,-3.2488378896517816,5.4582251220830145,0.25,30,20.248353780421045,1.85903806246505,-1.8394962236506096,0.5,30,22.41376049374276,-0.5707441381090099,-0.2838179392163731,0.25,30,2707.0,-371.0,-888.0,1.5,30,132.98000000000002,-0.16123743727951023,-0.13726855214096645,0.25,30,0.10200000000000387
-85.00000000000001,131.08544444444436,-0.002572222222227083,6.111111110840284e-05,1.5,30,130.94617959699443,-0.03417959699442008,-0.029476481521300002,0.5,30,130.957860279234,-0.003893560746547564,-0.004370621105721284,0.5,30,128.30395997450975,0.0011931980391750585,4.3043137225140526e-05,0.25,30,128.33828540953144,-0.003539764591351968,0.00014383408162643718,0.25,30,0.08223271930093379,0.00010961152843373678,0.0005557697816469254,0.25,30,45.11124255478155,2.4412896289208703,3.3017809369322393,0.25,30,-0.0062915805933486686,-0.00048577376518285555,0.0029929316824364102,0.25,30,22.119644756626506,-0.7173097849246126,-1.330343134876852,1.5,30,14.647394341700975,-0.886092432505869,0.012764928693497879,0.25,30,19.146492380640836,1.019380652473572,0.09091630240452275,0.5,30,2261.0,-955.0,-823.0,0.25,30,131.0418304,-0.008409599999993134,-0.00464959999999337,1.5,30,-0.07600000000002183
-450.0,131.82319999999999,0.0035749999999836746,-0.0006687500000168711,1.5,30,132.25785425813794,0.0006918811506295697,-0.008145741862080058,1.5,30,132.19816285755823,0.0015305487328021172,-0.018646140654510646,0.25,30,129.25677044512292,0.008544225609767864,0.0001819573170678268,1,30,129.60286775760005,0.0037404983110889134,-0.0011578885135747896,0.5,30,0.058597511211632064,-0.0027997926009688673,0.001399982716745865,1,30,61.82665066133172,0.37532488575924816,0.718423288071655,1.5,30,-0.012530328756304346,0.0007802705787952613,7.491133321266275e-05,1.5,30,15.97314613960497,0.46868422749453487,0.5787887582537099,1,30,26.56001396780981,-0.6992774295907616,-0.39998059028594213,0.5,30,24.338915003175813,0.019326833942397315,-0.08714372399959203,1,30,1055.0,-326.0,-830.0,0.5,30,132.35371574144,-0.0034635865600023408,7.068543999366739e-05,0.25,30,0.0630000000000166
-450.0,131.92687500000005,0.003974999999996953,-0.00023749999999722604,1.5,30,132.27279230732205,0.007207692677923205,-0.011207692677942305,1.5,30,132.2626670133185,0.0033750980012143827,0.0012775315589408365,0.25,30,129.48463149999986,0.008580378048776538,-0.00019570121952483532,1,30,129.60487071287676,0.005146508249623594,0.0008163315000899729,0.5,30,0.050890061593682326,0.00042582820052744497,-0.00011881901671101369,1,30,55.362348419687315,-0.544498840164394,-5.166634165367881,1.5,30,-0.004033305001765465,0.003317028827878682,-0.0019007881182735234,1.5,30,16.964395345676426,-0.7774546627809542,0.052779808220535074,1,30,20.320688949700045,-1.4857313782873227,-5.113472163151329,0.5,30,19.418188558469318,-0.28572152685751817,0.011905063619064293,1,30,2264.0,904.0,946.0,0.5,30,132.31077877002238,-0.005699115417598932,0.0002374631424117979,0.25,30,0.04800000000000182
-85.00000000000001,132.3940222222222,-0.002261111111124592,5.555555532055223e-06,0.5,30,132.0766153906821,-0.001506073193809243,0.010615390682119141,1,30,132.13182319443095,-0.0014155847115091547,0.01695685371066702,1.5,30,129.58495347256078,-0.0039392713414656555,-7.230487804577024e-05,1,30,129.49897453428912,-0.005934795468220955,-0.0004017382435677064,0.25,30,0.060184056896474526,-0.0011076415360429734,0.0023734219578226065,0.5,30,36.80085006597743,-2.54801407325818,-2.411319187261171,1,30,-0.00623306404497747,6.2514835122394474e-06,-0.0008802188494741042,1.5,30,23.33658238285927,1.066739362608896,1.2721773212236336,0.5,30,13.310989556263419,-0.7374607151985693,-0.38053611035170576,0.25,30,23.75680451171336,0.08817812910810119,0.12843059877198826,1,30,683.0,95.0,819.0,0.5,30,132.12781740297015,-0.01420193366334388,0.0015779926292793789,0.5,30,0.19700000000000273
14.000000000000002,132.90952777777795,0.0013777777777761457,-0.0002166666666596484,0.5,30,132.91517480810705,0.024825191892972498,0.019763030952475447,0.25,30,132.86992201421614,0.015084264630303323,0.01189481388820468,1.5,30,130.1288283509823,-0.0018433607842780475,0.0001824529412033371,1,30,130.18916440136968,0.00396592813487473,0.0009902088135902432,1.5,30,0.042679014163847215,0.0005825616147608556,-0.00022391010092167457,0.5,30,62.50740024197461,2.518346783867763,-0.9496837636383333,1.5,30,0.001886498499964473,0.0019473288758733998,0.0009141345617247748,0.5,30,10.584453681013963,-1.1657390861871146,0.24999463643404063,0.25,30,23.521867302215554,0.7218859918522895,0.4565929632526391,1.5,30,17.474047551144672,0.623259329281975,0.19473648317788061,0.5,30,1953.0,-509.0,-977.0,0.5,30,132.874,0.004597914983492046,-0.0011351866813527067,1.5,30,0.15399999999999636
