HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,KAMA_PERIOD,KAMA_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,RSI_PERIOD,RSI_WEIGHT,MACD_WEIGHT,PLUSDI_WEIGHT,MINUSDI_WEIGHT,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADOSC'>_CONFLUENT,<class '__main__.ADOSC'>_DIVERGENT,<class '__main__.ADOSC'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,CLOSED
1.5,2,200,40,50,0.5,80,0,40,0,40,0,14,0.5,14,2,0.5,0,1,694,14,0.7142857142857143,0.020172910662824207,57.14285714285714,-185.0,73.78034859003654,84.8720095548228,2,3.5,0,0,1.0,0,0,0.9878345498783455,0,0,0,1,0,0.9861660079051383,0,0,0,0,0,0,1,0,0.9868421052631579,0,0,0,0,0,0,0,0,0.9904306220095693,1,0,0.9853372434017595,0,0,0,-0.3464312633423958
1.5,2,200,40,50,0.5,80,0,40,0,40,0,14,0.5,14,2,0.5,0,1,694,15,0.7333333333333333,0.021613832853025938,43.47826086956522,-305.99999999999994,68.31451008071312,84.87200955481171,2,3.5,1,0,1.0,0,0,0.9876237623762376,0,0,0,0,1,0.9861932938856016,0,0,0,0,0,0,1,0,0.985545335085414,0,0,0,0,0,0,0,0,0.9904076738609112,0,1,0.9853801169590644,0,0,0,-0.36487062020221117
1.5,2,200,60,50,1,120,0,60,0.5,60,0.5,14,1.5,14,2,0.5,0.5,1,674,27,0.6296296296296297,0.040059347181008904,65.04201680672269,-1585.0000000000002,82.50263190585106,94.14304197193665,3,4.0,0,0,1.0,1,0,0.9834123222748815,0,0,0,1,0,0.978021978021978,0,0,0,0,0,0,1,0,0.9829619921363041,0,0,0,0,0,0,0,0,0.9915730337078652,1,0,0.9659367396593674,0,0,0,-0.6371086821937411
1.5,2,200,60,50,1,120,0,60,0.5,60,0.5,14,1.5,14,2,0.5,0.5,1,667,24,0.6666666666666666,0.035982008995502246,65.84224598930481,-1296.0,75.0420301698839,81.17521962360328,3,4.0,0,0,1.0,0,0,0.986784140969163,0,0,0,0,0,0.9802867383512545,0,0,0,0,0,0,1,0,0.984251968503937,0,0,0,0,0,0,1,0,0.9907120743034056,0,0,0.9706546275395034,0,0,0,0.6144563127999589
1,1.5,205,70,30,0.5,140,0.5,70,0,70,0,14,0,14,1.5,1.5,0,0,721,31,0.7419354838709677,0.04299583911234397,73.05735430157262,-4124.0,78.61507016003615,82.32021406567851,2.5,3.0,0,0,1.0,1,0,0.9692622950819673,0,0,0,1,0,0.972972972972973,0,0,0,0,0,0,1,0,0.9702457956015524,0,0,0,0,0,0,1,0,0.978319783197832,0,0,0.9823232323232324,0,0,0,-0.45407515073989657
0.75,2,205,70,30,0.5,140,1.5,70,0,70,0,14,0,14,1.5,1.5,0,0,720,10,0.8,0.013888888888888888,60.29411764705882,-4.0000000000000036,76.22886498345865,86.85202987439187,3,5.0,0,0,1.0,1,0,0.9919191919191919,0,0,0,1,0,0.9907578558225508,0,0,0,0,0,0,1,0,0.9894459102902374,0,0,0,0,0,0,0,0,0.990909090909091,1,0,0.9952941176470588,0,0,0,-0.5456391530584028
1.25,0,190,40,60,0.5,80,0.5,40,0,40,0,14,1.5,14,1,0,0,0,750,5,1.0,0.006666666666666667,47.27272727272727,55.00000000000001,72.09668796598086,88.64599509481657,1.5,2.5,0,1,1.0,1,0,0.9914163090128756,0,0,0,1,0,0.9925788497217068,0,0,0,0,0,0,1,0,0.9933774834437086,0,0,0,0,0,0,1,0,0.9948320413436692,0,0,0.9945504087193461,0,0,0,-0.18425277508666227
0.75,1.5,200,40,60,0.5,80,2,40,1,40,1,14,0.5,14,0.5,1,1,0,712,28,0.6785714285714286,0.03932584269662921,83.19838056680162,-2270.0,91.64837882945294,97.28171100455383,1.5,2.0,0,0,1.0,1,0,0.9657258064516129,0,0,0,1,0,0.9660107334525939,0,0,0,0,0,0,1,0,0.9765625,0,0,0,0,0,0,1,0,0.9857482185273159,0,0,0.9626436781609196,0,0,0,0.03507387302167331
0.75,1.5,200,40,60,0.5,80,2,40,1,40,1,14,0.5,14,0.5,1,1,0,712,32,0.6875,0.0449438202247191,63.66271409749671,-3595.0000000000005,70.268065751997,74.67163352166386,1.5,2.0,0,0,1.0,0,0,0.9614604462474645,0,0,0,1,0,0.9607843137254902,0,0,0,0,0,0,1,0,0.9727626459143969,0,0,0,0,0,0,0,0,0.9813953488372092,1,0,0.9590643274853801,0,0,0,0.49339073232208364
0.75,0,200,60,30,0.5,120,0.5,60,0,60,0,14,1.5,14,1,0,0,0,750,2,1.0,0.0026666666666666666,20.0,5.000000000000004,68.0,100.0,1.5,2.5,0,0,1.0,1,0,0.9976905311778291,0,0,0,1,0,0.9981447124304267,0,0,0,0,0,0,1,0,0.9973404255319149,0,0,0,0,0,0,0,0,1.0,1,0,0.996969696969697,0,0,0,-0.23309447133966898
0.75,1,200,50,60,0,100,2,50,0.5,50,0.5,14,0.5,14,0.5,1.5,0.5,0,708,29,0.7586206896551724,0.04096045197740113,63.74176548089592,-3595.0000000000005,78.21321756209889,87.86085228290086,1.5,2.0,0,0,1.0,1,0,0.9671457905544147,0,0,0,1,0,0.9628318584070796,0,0,0,0,0,0,1,0,0.9715025906735751,0,0,0,0,0,0,0,0,0.9830917874396136,1,0,0.9581005586592178,0,0,0,0.24331251624965944
