HA_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
1.25,180,1.5,60,1,90,1,30,1,14,1.5,1.5,1,2,485,36,0.5,0.07422680412371134,99.28571428571429,60.0,99.48152426479577,99.56544282725926,1.5,2.0,1,0,1.0,1,0,0.9611111111111111,1,0,0.9611940298507463,0,0,0,1,0,0.9657142857142857,0,0,0.9347826086956522,1,0,0.9384615384615385,0,0,0.9230769230769231,1,0,0.9652509652509652,0
1,180,0.5,50,1.5,90,1.5,25,1.5,14,1,0.5,2,0,463,79,0.4050632911392405,0.17062634989200864,59.82905982905983,-619.0,74.23406569961605,80.40763964414015,1.5,2.0,0,0,1.0,0,0,0.9439775910364145,0,0,0.9270516717325228,0,0,0,1,0,0.9562841530054644,0,0,0.8936170212765957,0,0,0.9154929577464789,0,0,0.9583333333333334,1,0,0.9398496240601504,117.53345279999485
1.25,180,1.5,30,2,90,1,15,1,14,1,0.5,2,1,693,65,0.47692307692307695,0.09379509379509379,56.48395721925134,-1296.0,70.33247062346706,76.26754779670239,1.5,2.0,0,0,1.0,1,0,0.946927374301676,1,0,0.9380053908355795,0,0,0,0,0,0.96875,0,0,0.927536231884058,0,0,0.9139784946236559,0,0,0.9444444444444444,1,0,0.957592339261286,59.82839960707497
1,180,1,50,1.5,90,1.5,25,1.5,14,1,1.5,2,0,589,78,0.4358974358974359,0.13242784380305603,65.43660942637925,-13485.0,81.1313738844549,87.85770150934447,1.5,2.0,1,0,1.0,0,0,0.9390862944162437,0,0,0.9261213720316622,0,0,0,0,0,0.96,0,0,0.9245283018867925,0,0,0.8764044943820225,0,0,0.9642857142857143,1,0,0.9463722397476341,-78.74240307999935
1,180,1,50,1.5,90,1.5,25,1.5,14,1,1.5,2,0,589,79,0.4430379746835443,0.13412563667232597,67.36418511066398,-14710.0,74.96340808299347,78.22021792827752,1.5,2.0,0,0,1.0,1,0,0.9365482233502538,1,0,0.9246753246753247,0,0,0,0,1,0.9596412556053812,0,0,0.9230769230769231,1,0,0.8709677419354839,0,0,0.9666666666666667,1,0,0.9448818897637795,-86.43401279080717
1,180,1.5,30,1,90,1.5,15,1.5,14,1,1.5,2,2,393,27,0.5925925925925926,0.06870229007633588,60.29411764705882,-4.0000000000000036,80.57308251596666,89.26406745978431,1.5,2.0,0,0,1.0,1,0,0.9329896907216495,1,0,0.9270833333333334,0,0,0,0,0,0.9815950920245399,0,0,1.0,0,0,0.9056603773584906,0,0,1.0,1,0,0.9615384615384616,18.555403448324796
1,180,1.5,30,1,90,1.5,15,1.5,14,1,1.5,2,2,393,29,0.5862068965517241,0.0737913486005089,65.6140350877193,-85.00000000000001,83.84208150540539,91.65410139869941,1.5,2.0,1,0,1.0,0,0,0.9319371727748691,1,0,0.9226804123711341,0,0,0,1,0,0.9761904761904762,0,0,1.0,0,0,0.8888888888888888,0,0,1.0,1,0,0.9592326139088729,144.1241407999987
1,180,2,60,1.5,90,2,30,2,14,1.5,1,1,0,674,82,0.47560975609756095,0.12166172106824925,71.57894736842105,-85.00000000000001,91.47368421052632,100.0,2,4.0,0,0,1.0,1,0,0.9366515837104072,0,0,0.9299065420560748,0,0,0,0,0,0.9576923076923077,0,0,0.9375,0,0,0.9024390243902439,0,0,0.9545454545454546,1,0,0.9497964721845319,-85.25021922316228
1,180,1.5,30,1,90,1.5,15,1.5,14,1,1.5,1,2,773,83,0.5542168674698795,0.1073738680465718,62.254901960784316,-4.0000000000000036,86.38198118293164,96.72215799242335,1.5,2.0,0,0,1.0,1,0,0.9368932038834952,1,0,0.9187192118226601,0,0,0,0,0,0.9493243243243243,0,0,0.9052631578947369,0,0,0.9120879120879121,0,0,1.0,1,0,0.9456264775413712,24.9124188297792
1,180,1.5,30,1,90,1.5,15,1.5,14,1,1.5,1,2,771,84,0.5714285714285714,0.10894941634241245,69.82456140350877,-85.00000000000001,90.08131867113161,98.7627860715414,1.5,2.0,0,0,1.0,1,0,0.9339407744874715,1,0,0.9178082191780822,0,0,0,0,0,0.9536423841059603,0,0,0.8888888888888888,0,0,0.9320388349514563,0,0,1.0,1,0,0.9433962264150944,30.03009218522857
1,180,1.5,30,1,90,1.5,15,1.5,14,1,1.5,1,2,770,85,0.5764705882352941,0.11038961038961038,72.72727272727273,-185.0,91.1145048941225,98.99474725134382,1.5,2.0,0,0,1.0,0,0,0.9349775784753364,1,0,0.9174107142857143,0,0,0,0,0,0.9533333333333334,0,0,0.8901098901098901,0,0,0.9306930693069307,0,0,1.0,1,0,0.9422850412249706,-127.3767680000019
0.75,180,1.5,30,0.5,90,0,15,0,14,0.5,0.5,2,0,439,62,0.5967741935483871,0.14123006833712984,56.372549019607845,-4.0000000000000036,78.89254713002755,88.543974891636,1.5,2.0,0,0,1.0,0,0,0.9340277777777778,0,0,0.9153846153846154,0,0,0,0,0,0.9606741573033708,1,0,0.8333333333333334,0,0,0.9811320754716981,0,0,1.0,1,0,0.931098696461825,21.668000000001484
1,180,2,40,0,90,0.5,20,0.5,14,1,0.5,2,1,528,87,0.5402298850574713,0.16477272727272727,46.666666666666664,30.000000000000004,84.0,100.0,1.5,2.5,0,0,1.0,0,1,0.9444444444444444,0,1,0.9250720461095101,0,0,0,1,0,0.9248826291079812,0,0,0.9259259259259259,0,0,0.918918918918919,0,0,0.9629629629629629,1,0,0.9273570324574961,37.88699999999881
1,180,2,40,0,90,0.5,20,0.5,14,1,0.5,2,1,526,85,0.5529411764705883,0.16159695817490494,46.666666666666664,30.000000000000004,84.0,100.0,1.5,2.5,1,0,1.0,1,0,0.9427710843373494,1,0,0.9215116279069767,0,0,0,1,0,0.9216589861751152,1,0,0.9146341463414634,0,0,0.92,0,0,0.9615384615384616,1,0,0.9273570324574961,-55.17303825919225
1.25,180,0.5,60,0,90,2,30,2,14,1,0,1,2,792,148,0.28378378378378377,0.18686868686868688,68.62745098039215,-4.0000000000000036,90.58823529411765,100.0,2.5,4.0,0,0,1.0,0,0,0.9636363636363636,0,0,0.9479166666666666,0,0,0,0,0,0.9491525423728814,0,0,0.9139784946236559,0,0,0.9504950495049505,0,0,0.9714285714285714,1,0,0.9501187648456056,-170.19999999998254
