HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
0.75,0.5,180,0,40,1.5,0,2,0,2,14,1.5,1,2,1.5,0,490,22,0.7272727272727273,0.044897959183673466,80.4144385026738,-1296.0,88.2396947042995,93.45653217204996,3,4.5,0,0,1.0,0,0,0.976,0,0,0.967741935483871,0,0,0,1,0,0.9655172413793104,0,0,0,0,0,0.9504950495049505,1,0,0.9351851851851852,0,0,1.0,1,0,0.9689922480620154,-0.564383236301623
1,2,180,1,40,2,1,0.5,1,0.5,14,1.5,1,0.5,1,1,541,11,0.8181818181818182,0.02033271719038817,71.57894736842105,-85.00000000000001,88.63157894736841,100.0,1.5,3.5,1,0,1.0,0,0,0.987460815047022,1,0,0.987146529562982,0,0,0,0,0,0.9852941176470589,0,0,0,0,0,0.9734513274336283,0,0,0.9917355371900827,0,0,0.9642857142857143,1,0,0.9852216748768473,0.19112630499421357
0.75,2,180,0,60,2,0,0,0,0,14,1.5,1,0,1,0,367,7,0.7142857142857143,0.01907356948228883,52.72727272727272,55.00000000000001,79.33419396084373,97.07214144989108,1.5,2.0,0,0,1.0,1,0,0.9820143884892086,1,0,0.9822064056939501,0,0,0,0,0,0.9943181818181818,0,0,0,0,0,0.98,0,0,1.0,0,0,1.0,1,0,0.9876543209876543,-0.13630504378977548
1,0.5,180,2,60,0.5,2,0,2,0,14,1,0.5,0,2,2,382,8,0.75,0.020942408376963352,54.94505494505495,91.0,71.35513913152238,82.29519525583399,3,3.5,0,0,1.0,1,0,0.9820143884892086,1,0,0.9787234042553191,0,0,0,0,1,0.9943502824858758,0,0,0,0,0,0.9805825242718447,0,0,1.0,0,0,1.0,1,0,0.9852216748768473,-0.3131034023695918
0.75,0.5,180,2,60,0.5,2,0,2,0,14,1,1,0,2,2,400,8,0.875,0.02,65.0,60.0,86.0,100.0,3,3.5,0,0,1.0,1,0,0.9855595667870036,1,0,0.9781818181818182,0,0,0,0,0,0.9726775956284153,0,0,0,0,0,1.0,0,0,0.9836065573770492,0,0,1.0,1,0,0.9828009828009828,0.09591206949086484
0.75,0.5,180,2,60,0.5,2,0,2,0,14,1,1,0,2,2,400,10,0.8,0.025,68.62745098039215,-4.0000000000000036,87.45098039215686,100.0,3,3.5,0,0,1.0,1,0,0.9774436090225563,1,0,0.9706959706959707,0,0,0,1,0,0.9726775956284153,0,0,0,0,0,0.9753086419753086,1,0,0.9753086419753086,0,0,1.0,1,0,0.9803921568627451,0.0799999999999983
0.75,0.5,180,2,60,0.5,2,0,2,0,14,1,1,0,2,2,400,11,0.8181818181818182,0.0275,71.57894736842105,-85.00000000000001,88.63157894736841,100.0,3,3.5,0,0,1.0,0,0,0.9804560260586319,0,0,0.9721254355400697,0,0,0,0,0,0.9720670391061452,0,0,0,1,0,0.9655172413793104,0,0,0.972972972972973,1,0,0.9090909090909091,1,0,0.9779951100244498,-0.4048467507110729
0.75,0.5,180,2,60,0.5,2,0,2,0,14,1,1,0,2,2,400,13,0.6923076923076923,0.0325,49.122807017543856,-85.00000000000001,79.64912280701755,100.0,3,3.5,1,0,1.0,0,0,0.9804560260586319,0,1,0.9758620689655172,0,0,0,1,0,0.9720670391061452,0,0,0,0,0,0.9659090909090909,0,0,0.9850746268656716,0,0,0.9,1,0,0.9779951100244498,0.227890034560005
1,2,180,1,50,1.5,1,0.5,1,0.5,14,1,0.5,0.5,1.5,1,575,12,0.75,0.020869565217391306,70.17543859649122,-85.00000000000001,86.03614541428674,96.60994995948376,3,4.5,0,0,1.0,1,0,0.9797979797979798,1,0,0.9779411764705882,0,0,0,0,0,0.9848484848484849,0,0,0,0,0,0.9925373134328358,0,0,0.9908256880733946,0,0,1.0,1,0,0.9852216748768473,-0.44753695478182465
0.75,0.5,180,0,30,2,0,1.5,0,1.5,14,1,1,1.5,1,0,762,28,0.8214285714285714,0.03674540682414698,77.93709528214616,-4124.0,81.39858174823128,83.70623939228801,3,3.5,0,0,1.0,0,0,0.959051724137931,1,0,0.9544513457556936,0,0,0,1,0,0.9724517906336089,0,0,0,0,0,0.9315789473684211,0,0,0.9790209790209791,0,0,1.0,1,0,0.9720534629404617,0.37928717136165346
0.75,0.5,180,0,30,2,0,1.5,0,1.5,14,1,1,1.5,1,0,763,31,0.8387096774193549,0.04062909567496723,78.11643283341397,-6001.0,86.85313437206464,92.67760206449843,3,3.5,0,0,1.0,1,0,0.956140350877193,1,0,0.94824016563147,0,0,0,1,0,0.9655172413793104,0,0,0,0,0,0.9234972677595629,1,0,0.9745222929936306,0,0,1.0,1,0,0.9685230024213075,-0.2638771187151008
0.75,0.5,180,0,30,2,0,1.5,0,1.5,14,1,1,1.5,1,0,765,34,0.7941176470588235,0.044444444444444446,79.35064935064935,-6730.0,83.86265589451985,86.87066025710018,3,3.5,0,0,1.0,0,0,0.9540481400437637,0,0,0.9493927125506073,0,0,0,1,0,0.9655172413793104,0,0,0,1,0,0.9202127659574468,0,0,0.9673202614379085,1,0,0.95,1,0,0.9673518742442564,0.13520536190171129
0.75,0.5,180,0,30,2,0,1.5,0,1.5,14,1,1,1.5,1,0,763,25,0.76,0.0327653997378768,76.80161943319838,-2270.0,83.58278730423663,88.1035658849288,3,3.5,0,0,1.0,1,0,0.9675,1,0,0.9642105263157895,0,0,0,1,0,0.9735449735449735,0,0,0,0,0,0.9451219512195121,1,0,0.9662921348314607,0,0,0.9655172413793104,1,0,0.9768009768009768,0.04599999999999227
0.75,0.5,180,0,30,2,0,1.5,0,1.5,14,1,1,1.5,1,0,764,26,0.7692307692307693,0.034031413612565446,78.6759581881533,-2670.0,85.09303125377801,89.3710799641945,3,3.5,0,1,1.0,1,0,0.9646464646464646,1,0,0.9624217118997912,0,0,0,0,0,0.9736842105263158,0,0,0,1,0,0.9408284023668639,0,0,0.9655172413793104,0,0,0.9655172413793104,1,0,0.975609756097561,0.14665264162835
0.75,0.5,180,0,30,2,0,1.5,0,1.5,14,1,1,1.5,1,0,762,27,0.7777777777777778,0.03543307086614173,80.27786167321051,-3111.0,86.42220688704317,90.51843702959827,3,3.5,0,0,1.0,1,0,0.9648711943793911,1,0,0.9619238476953907,0,0,0,0,0,0.9740932642487047,0,0,0,0,0,0.9393939393939394,1,0,0.9585798816568047,0,0,0.9666666666666667,1,0,0.97442143727162,0.12399999999999523
0.75,0.5,180,0,30,2,0,1.5,0,1.5,14,1,1,1.5,1,0,761,27,0.7777777777777778,0.035479632063074903,83.66052552099063,-3111.0,90.35189827224677,94.81281343975087,3,3.5,0,0,1.0,0,0,0.9626168224299065,1,0,0.9586776859504132,0,0,0,1,0,0.9770992366412213,0,0,0,1,0,0.9473684210526315,0,0,0.953757225433526,1,0,0.9354838709677419,1,0,0.97442143727162,0.1389999999999958
0.75,0.5,180,0,30,2,0,1.5,0,1.5,14,1,1,1.5,1,0,767,24,0.7916666666666666,0.03129074315514994,83.40080971659918,-2270.0,91.28056506510985,96.53373529745029,3,3.5,0,0,1.0,0,0,0.9694835680751174,1,0,0.9635627530364372,0,0,0,1,0,0.9772727272727273,0,0,0,0,0,0.9583333333333334,1,0,0.9479768786127167,1,0,0.90625,1,0,0.9768009768009768,-0.4027135570414657
0.75,0.5,180,0,30,2,0,1.5,0,1.5,14,1,1,1.5,1,0,769,29,0.7931034482758621,0.0377113133940182,65.54116558741906,-4124.0,85.6385021617594,99.03672654465295,3,3.5,0,0,1.0,0,0,0.9638009049773756,0,0,0.9586614173228346,0,0,0,1,0,0.9720812182741116,0,0,0,1,0,0.9567901234567902,0,0,0.9247311827956989,1,0,0.8823529411764706,1,0,0.9720534629404617,0.3949647999999968
0.75,0.5,180,0,30,2,0,1.5,0,1.5,14,1,1,1.5,1,0,767,27,0.7777777777777778,0.035202086049543675,66.89821806100876,-3111.0,78.87255463997573,86.85544569262039,3,3.5,0,0,1.0,1,0,0.966903073286052,1,0,0.9623762376237623,0,0,0,1,0,0.974293059125964,0,0,0,0,0,0.9754601226993865,1,0,0.9197860962566845,0,0,0.8787878787878788,1,0,0.97442143727162,-0.2629750306962819
1,0,180,2,50,1,2,0.5,2,0.5,14,0,1,0.5,2,2,666,52,0.5961538461538461,0.07807807807807808,76.5937019969278,-10216.0,79.35843120791642,81.20158401524216,3,5.0,0,1,1.0,1,0,0.9422572178477691,1,0,0.9388185654008439,0,0,0,1,0,0.9709302325581395,0,0,0,0,0,0.9847328244274809,0,0,0.9101796407185628,0,0,0.8928571428571429,1,0,0.957592339261286,0.28134000000000015
1,0,180,0,60,0.5,0,1.5,0,1.5,14,1.5,0.5,1.5,1,0,384,23,0.6086956521739131,0.059895833333333336,71.42857142857143,-815.0,77.21140098903285,81.06662069600715,2,3.0,1,0,1.0,1,0,0.9508928571428571,1,0,0.9457364341085271,0,0,0,0,1,0.9789473684210527,0,0,0,0,0,0.9852941176470589,1,0,0.9108910891089109,0,0,0.8666666666666667,1,0,0.966183574879227,-0.3733660987055316
1.25,1,180,1,30,1,1,0.5,1,0.5,14,1,0.5,0.5,1,1,487,30,0.5666666666666667,0.061601642710472276,71.76470588235294,-1585.0000000000002,77.12893231053462,80.70508326265575,2,3.5,0,0,1.0,1,0,0.9639344262295082,1,0,0.954983922829582,0,0,0,1,0,0.9727626459143969,0,0,0,1,0,0.9767441860465116,0,0,0.925,0,0,0.8888888888888888,1,0,0.9671179883945842,-0.2811989854951378
1,1.5,180,0,50,2,0,0.5,0,0.5,14,2,0.5,0.5,2,0,575,34,0.5588235294117647,0.059130434782608696,81.13360323886639,-2270.0,87.08317269323257,91.04955232947668,3,5.0,1,0,1.0,1,0,0.9596977329974811,1,0,0.9559902200488998,0,0,0,0,0,0.9800664451827242,0,0,0,0,0,0.9803921568627451,0,0,0.9424460431654677,0,0,0.9375,1,0,0.9693053311793215,-0.37729276827556646
0.75,1.5,180,0,50,2,0,0.5,0,0.5,14,0.5,0.5,0.5,2,0,383,13,0.6923076923076923,0.033942558746736295,69.82456140350877,-85.00000000000001,85.0505982227019,95.20128943549732,3,5.0,0,0,1.0,1,0,0.9704918032786886,1,0,0.967741935483871,0,0,0,0,0,0.9898477157360406,0,0,0,0,0,1.0,1,0,0.954954954954955,0,0,0.9473684210526315,1,0,0.9779951100244498,0.48752219714003786
0.75,1.5,180,0,50,2,0,0.5,0,0.5,14,0.5,0.5,0.5,2,0,385,17,0.6470588235294118,0.04415584415584416,75.8893280632411,-305.99999999999994,90.13447583698125,99.6312410194747,3,5.0,0,0,1.0,0,0,0.967741935483871,0,0,0.9619771863117871,0,0,0,1,0,0.985,0,0,0,1,0,0.9852941176470589,0,0,0.94,0,0,0.9523809523809523,1,0,0.9732360097323601,0.19599999999999795
